No,TMNo,EnNo,Name,INOUT,Mode,DateTime
205,1,30,,0,0,8/3/2019 16:55
206,1,4,,0,0,8/3/2019 18:41
207,1,9,,0,0,8/5/2019 7:59
208,1,10,,0,0,8/5/2019 8:00
209,1,20,,0,0,8/5/2019 8:00
210,1,12,,0,0,8/5/2019 8:06
211,1,11,,0,0,8/5/2019 8:06
212,1,13,,0,0,8/5/2019 8:06
213,1,14,,0,0,8/5/2019 8:09
214,1,35,,0,0,8/5/2019 8:20
215,1,23,,0,0,8/5/2019 8:50
216,1,3,,0,0,8/5/2019 8:52
217,1,4,,0,0,8/5/2019 9:09
218,1,10,,0,0,8/5/2019 9:17
219,1,12,,0,0,8/5/2019 9:17
220,1,11,,0,0,8/5/2019 9:17
221,1,14,,0,0,8/5/2019 9:17
222,1,13,,0,0,8/5/2019 9:17
223,1,16,,0,0,8/5/2019 9:18
224,1,35,,0,0,8/5/2019 9:18
225,1,15,,0,0,8/5/2019 9:19
226,1,32,,0,0,8/5/2019 9:19
227,1,32,,0,0,8/5/2019 9:19
228,1,3,,0,0,8/5/2019 9:21
229,1,40,,0,0,8/5/2019 9:22
230,1,5,,0,0,8/5/2019 11:07
231,1,27,,0,0,8/5/2019 13:53
232,1,26,,0,0,8/5/2019 13:58
233,1,25,,0,0,8/5/2019 14:11
234,1,5,,0,0,8/5/2019 14:52
235,1,28,,0,0,8/5/2019 14:57
236,1,30,,0,0,8/5/2019 15:00
237,1,31,,0,0,8/5/2019 15:00
238,1,41,,0,0,8/5/2019 16:06
239,1,42,,0,0,8/5/2019 16:07
240,1,43,,0,0,8/5/2019 16:08
241,1,44,,0,0,8/5/2019 16:09
242,1,45,,0,0,8/5/2019 16:09
243,1,37,,0,0,8/5/2019 16:14
244,1,25,,0,0,8/5/2019 16:26
245,1,27,,0,0,8/5/2019 16:28
246,1,26,,0,0,8/5/2019 16:28
247,1,2,,0,0,8/5/2019 16:35
248,1,9,,0,0,8/5/2019 16:36
249,1,9,,0,0,8/5/2019 16:36
250,1,28,,0,0,8/5/2019 16:45
251,1,31,,0,0,8/5/2019 16:45
252,1,30,,0,0,8/5/2019 16:45
253,1,5,,0,0,8/5/2019 16:48
254,1,5,,0,0,8/5/2019 16:49
255,1,10,,0,0,8/6/2019 8:10
256,1,11,,0,0,8/6/2019 8:10
257,1,17,,0,0,8/6/2019 8:10
258,1,12,,0,0,8/6/2019 8:10
259,1,35,,0,0,8/6/2019 8:11
260,1,9,,0,0,8/6/2019 8:11
261,1,13,,0,0,8/6/2019 8:11
262,1,3,,0,0,8/6/2019 8:12
263,1,18,,0,0,8/6/2019 8:26
264,1,23,,0,0,8/6/2019 8:46
265,1,37,,0,0,8/6/2019 8:46
266,1,4,,0,0,8/6/2019 9:15
267,1,10,,0,0,8/6/2019 9:21
268,1,12,,0,0,8/6/2019 9:23
269,1,11,,0,0,8/6/2019 9:23
270,1,14,,0,0,8/6/2019 9:23
271,1,13,,0,0,8/6/2019 9:23
272,1,15,,0,0,8/6/2019 9:23
273,1,35,,0,0,8/6/2019 9:23
274,1,16,,0,0,8/6/2019 9:23
275,1,5,,0,0,8/6/2019 9:27
276,1,3,,0,0,8/6/2019 9:29
277,1,4,,0,0,8/6/2019 9:35
278,1,17,,0,0,8/6/2019 9:35
279,1,18,,0,0,8/6/2019 9:35
280,1,3,,0,0,8/6/2019 9:37
281,1,2,,0,0,8/6/2019 9:40
282,1,22,,0,0,8/6/2019 10:14
283,1,26,,0,0,8/6/2019 13:50
284,1,25,,0,0,8/6/2019 13:50
285,1,27,,0,0,8/6/2019 13:58
286,1,30,,0,0,8/6/2019 14:33
287,1,28,,0,0,8/6/2019 14:53
288,1,36,,0,0,8/6/2019 15:02
289,1,31,,0,0,8/6/2019 15:05
290,1,41,,0,0,8/6/2019 16:00
291,1,43,,0,0,8/6/2019 16:00
292,1,42,,0,0,8/6/2019 16:00
293,1,45,,0,0,8/6/2019 16:04
294,1,46,,0,0,8/6/2019 16:05
295,1,44,,0,0,8/6/2019 16:05
296,1,27,,0,0,8/6/2019 16:41
297,1,26,,0,0,8/6/2019 16:41
298,1,36,,0,0,8/6/2019 16:41
299,1,25,,0,0,8/6/2019 16:41
300,1,28,,0,0,8/6/2019 16:53
301,1,29,,0,0,8/6/2019 16:53
302,1,31,,0,0,8/6/2019 16:53
303,1,30,,0,0,8/6/2019 16:53
304,1,32,,0,0,8/6/2019 17:01
305,1,41,,0,0,8/6/2019 17:14
306,1,46,,0,0,8/6/2019 17:14
307,1,45,,0,0,8/6/2019 17:14
308,1,42,,0,0,8/6/2019 17:14
309,1,43,,0,0,8/6/2019 17:14
310,1,44,,0,0,8/6/2019 17:15
311,1,6,,0,0,8/6/2019 17:18
312,1,32,,0,0,8/6/2019 17:28
313,1,47,,0,0,8/6/2019 18:14
314,1,6,,0,0,8/6/2019 18:15
315,1,5,,0,0,8/6/2019 18:23
316,1,3,,0,0,8/7/2019 7:56
317,1,10,,0,0,8/7/2019 8:00
318,1,1,,0,0,8/7/2019 8:03
319,1,17,,0,0,8/7/2019 8:05
320,1,14,,0,0,8/7/2019 8:05
321,1,20,,0,0,8/7/2019 8:07
322,1,35,,0,0,8/7/2019 8:07
323,1,12,,0,0,8/7/2019 8:09
324,1,11,,0,0,8/7/2019 8:09
325,1,13,,0,0,8/7/2019 8:10
326,1,32,,0,0,8/7/2019 8:16
327,1,18,,0,0,8/7/2019 8:32
328,1,24,,0,0,8/7/2019 8:55
329,1,23,,0,0,8/7/2019 8:55
330,1,10,,0,0,8/7/2019 9:06
331,1,11,,0,0,8/7/2019 9:07
332,1,12,,0,0,8/7/2019 9:07
333,1,14,,0,0,8/7/2019 9:08
334,1,13,,0,0,8/7/2019 9:09
335,1,15,,0,0,8/7/2019 9:09
336,1,4,,0,0,8/7/2019 9:09
337,1,35,,0,0,8/7/2019 9:09
338,1,5,,0,0,8/7/2019 9:20
339,1,18,,0,0,8/7/2019 9:40
340,1,17,,0,0,8/7/2019 9:40
341,1,22,,0,0,8/7/2019 11:24
342,1,25,,0,0,8/7/2019 13:49
343,1,27,,0,0,8/7/2019 13:59
344,1,26,,0,0,8/7/2019 14:20
345,1,30,,0,0,8/7/2019 14:56
346,1,28,,0,0,8/7/2019 15:00
347,1,31,,0,0,8/7/2019 15:02
348,1,36,,0,0,8/7/2019 15:05
349,1,41,,0,0,8/7/2019 15:47
350,1,43,,0,0,8/7/2019 15:48
351,1,46,,0,0,8/7/2019 15:59
352,1,42,,0,0,8/7/2019 16:00
353,1,45,,0,0,8/7/2019 16:01
354,1,44,,0,0,8/7/2019 16:13
355,1,27,,0,0,8/7/2019 16:36
356,1,26,,0,0,8/7/2019 16:36
357,1,36,,0,0,8/7/2019 16:37
358,1,25,,0,0,8/7/2019 16:37
359,1,29,,0,0,8/7/2019 16:41
360,1,28,,0,0,8/7/2019 16:41
361,1,31,,0,0,8/7/2019 16:41
362,1,29,,0,0,8/7/2019 16:41
363,1,30,,0,0,8/7/2019 16:41
364,1,46,,0,0,8/7/2019 17:07
365,1,45,,0,0,8/7/2019 17:08
366,1,41,,0,0,8/7/2019 17:08
367,1,42,,0,0,8/7/2019 17:08
368,1,43,,0,0,8/7/2019 17:08
369,1,44,,0,0,8/7/2019 17:08
370,1,4,,0,0,8/7/2019 18:35
371,1,5,,0,0,8/7/2019 18:42
372,1,1,,0,0,8/7/2019 19:49
373,1,3,,0,0,8/7/2019 19:49
374,1,17,,0,0,8/8/2019 7:56
375,1,9,,0,0,8/8/2019 7:56
376,1,1,,0,0,8/8/2019 7:57
377,1,15,,0,0,8/8/2019 8:06
378,1,48,,0,0,8/8/2019 8:07
379,1,16,,0,0,8/8/2019 8:07
380,1,12,,0,0,8/8/2019 8:07
381,1,11,,0,0,8/8/2019 8:07
382,1,3,,0,0,8/8/2019 8:07
383,1,13,,0,0,8/8/2019 8:09
384,1,18,,0,0,8/8/2019 8:14
385,1,20,,0,0,8/8/2019 8:31
386,1,23,,0,0,8/8/2019 9:00
387,1,24,,0,0,8/8/2019 9:00
388,1,17,,0,0,8/8/2019 9:13
389,1,48,,0,0,8/8/2019 9:14
390,1,11,,0,0,8/8/2019 9:14
391,1,12,,0,0,8/8/2019 9:14
392,1,13,,0,0,8/8/2019 9:15
